Request Number,Date Opened,Request ,Description,Incident Address,Zip Code,Trash Hauler,Trash Route,Council District,State Plan X,State Plan Y
138258,2/6/2019,Trash - Curbside/Alley Missed Pickup,everyone missed,"3620 Arcadia Cir, Nashville, TN 37013, United States",37013,RED RIVER,3503,33,1791491.842,634384.2304
138551,2/6/2019,Trash - Curbside/Alley Missed Pickup,missed,"12558 Old Hickory Blvd, Nashville, TN 37013, United States",37013,RED RIVER,4510,33,1789672.999,620095.2005
139336,2/7/2019,Trash - Curbside/Alley Missed Pickup,missed last week get on route,"1012 Arcadia Ct, Nashville, TN 37013, United States",37013,RED RIVER,3503,33,1791769.938,634536.9609
139495,2/7/2019,Trash - Curbside/Alley Missed Pickup,"Curb Wednesday, missed Trash","1508 Chestnut Oak Dr, Nashville, TN 37013, United States",37013,RED RIVER,4310,33,1792600.38,622498.0203
139555,2/7/2019,Trash - Curbside/Alley Missed Pickup,MISSED THE STREET,117 BART DR,37013,RED RIVER,3404,30,1763457.8,628292.8016
139562,2/7/2019,Trash - Curbside/Alley Missed Pickup,next door neighbor missed as well,"4026 Coleridge Dr, Nashville, TN 37013, United States",37013,RED RIVER,3404,30,1762459.4,628692.8016
139567,2/7/2019,Trash - Curbside/Alley Missed Pickup,miss,"1515 Denise Ct, Nashville, TN 37013, United States",37013,RED RIVER,1405,28,1765695.399,634529.6019
139612,2/7/2019,Trash - Curbside/Alley Missed Pickup,MISSED THE STREET,4845 CIMARRON WAY,37013,RED RIVER,3404,30,1765911.901,629619.7252
139613,2/7/2019,Trash - Curbside/Alley Missed Pickup,MISSED THE STREET,"4725 ARAPAHO BND, 37013",37013,RED RIVER,3404,30,1765917.006,630128.6143
139673,2/8/2019,Trash - Curbside/Alley Missed Pickup,came late and didn't get jhers,"116 Panamint Dr, Nashville, TN 37013, United States",37013,RED RIVER,3404,30,1765340.436,628836.9819
140008,2/8/2019,Trash - Backdoor,This is second week my trash has not been picked up.,"760 Bell Rd, Nashville, TN 37013, United States",37013,RED RIVER,4504,32,1778376.999,626745.6008
140230,2/8/2019,Trash - Curbside/Alley Missed Pickup,1 cart backdoor,"2468 Una Antioch Pike, Nashville, TN 37013, United States",37013,RED RIVER,4505,28,1773639.399,631458.4011
140324,2/9/2019,Trash - Curbside/Alley Missed Pickup,CMP UPSET THAT THE TRASH IN HIS CUL DE SAC KEEPS GETTING MISSED ABOUT EVERY 3 WEEKS / SENT EMAIL TO PW CUST SVC,3429 TOWNE VILLAGE RD,37013,,,33,1791186.628,634428.2815
140355,2/9/2019,Trash - Curbside/Alley Missed Pickup,"Entire street was missed 
12546, 12540, 12558, 12559 and other s","12546 Old Hickory Blvd, Nashville, TN 37013, United States",37013,RED RIVER,4510,33,1789761.8,620427.2005
140364,2/9/2019,Trash - Curbside/Alley Missed Pickup,"Our trash was out on the curb, and the trash trial did not collect it. This has happened before. One of our trash cans has been treated so roughly that the lid has come off completely, and I often find my trash cans in the street or knocked over after the trash truck comes.","3404 Daisy Trail, Nashville, TN 37013, United States",37013,RED RIVER,3502,33,1790988.313,635246.8443
140556,2/11/2019,Damage to Property,CALLER STATES THAT TRASH TRUCK DROPPED CART ONTO MAILBOX AND BROKE IT.,"4641 Fanning Dr, Nashville, TN 37013, United States",37013,RED RIVER,4505,28,1769696.891,632987.0352
140583,2/11/2019,Trash - Curbside/Alley Missed Pickup,Missed trash,"3365 Country Way Rd, Nashville, TN 37013, United States",37013,RED RIVER,3503,33,1790421.347,634642.7453
140607,2/11/2019,Trash - Curbside/Alley Missed Pickup,1 cart,"3006 Chelsea Way, Nashville, TN 37013, United States",37013,RED RIVER,3502,33,1790181.271,637076.8374
140674,2/11/2019,Trash - Curbside/Alley Missed Pickup,Missed.,"12552 Old Hickory Blvd, Nashville, TN 37013, United States",37013,,,33,1789722.598,620280.0007
140679,2/11/2019,Trash - Backdoor,1 cart,"4221 Shagbark Trail, Nashville, TN 37013, United States",37013,RED RIVER,4510,32,1785327.167,622722.2572
140802,2/11/2019,Trash - Curbside/Alley Missed Pickup,Trash/curb missed last Friday. UNIT-lot 5,"2731 Murfreesboro Pike, Nashville, TN 37013, United States",37013,RED RIVER,4502,32,1781139.399,632445.6015
140918,2/11/2019,Trash - Curbside/Alley Missed Pickup,missed,"624 Country Meadow Ct, Nashville, TN 37013, United States",37013,RED RIVER,3503,33,1790089.051,634326.5002
141439,2/12/2019,Trash - Curbside/Alley Missed Pickup,MISSED- MISSED THE ENTIRE CUL DE SAC,"3004 COUNTRY MEADOW RD, 37013",37013,RED RIVER,3503,33,1790460.873,633504.5953
141640,2/13/2019,Trash - Backdoor,"paid service trash been missed for weeks, She pay's for this service. Full cart needs emptied asap. Will go higher.","1129 Burlingame Ct, Nashville, TN 37013, United States",37013,RED RIVER,3503,33,1791903.742,633664.4967
141677,2/13/2019,Trash - Curbside/Alley Missed Pickup,MISSED...ENTIRE CUL DE SAC MISSED...,"3005 Country Meadow Rd, Nashville, TN 37013, United States",37013,RED RIVER,3503,33,1790457.086,633643.977
142174,2/14/2019,Trash - Curbside/Alley Missed Pickup,"Trash/curb Wednesday, 6 or 7 houses still carts out on both sides of street.","320 S Shore Dr, Nashville, TN 37013, United States",37013,RED RIVER,4310,33,1795684.975,626915.0418
142739,2/15/2019,Trash - Curbside/Alley Missed Pickup,"file complaint trash/curbside keeps getting missed, Thursday{s| not pickup.","14550 Old Hickory Blvd, Nashville, TN 37013, United States",37013,RED RIVER,4403,31,1766766.598,618419.2003
142775,2/15/2019,Trash - Curbside/Alley Missed Pickup,missed the whole street,"178 Sheila Dr, Nashville, TN 37013, United States",37013,RED RIVER,3404,30,1764267.399,629242.4017
143011,2/15/2019,Trash - Curbside/Alley Missed Pickup,missed the street,"186 Sheila Dr, Nashville, TN 37013, United States",37013,RED RIVER,3404,30,1764115.399,629213.6009
143013,2/15/2019,Trash - Curbside/Alley Missed Pickup,trash was skipped yesterday. all other carts were picked up,"5049 Luker Ln, Antioch, Tennessee, 37013",37013,RED RIVER,3404,30,1764182.599,627408.8013
143018,2/15/2019,Trash Collection Complaint,Caller wants to know if there is a new trash collection crew. He says the driver is emptying carts at a very fast pace and is damaging trash carts including his.,"847 Richards Rd, Nashville, TN 37013, United States",37013,RED RIVER,4505,28,1769091.752,632232.9127
143068,2/15/2019,Trash - Curbside/Alley Missed Pickup,missed,"154 Sheila Dr, Nashville, TN 37013, United States",37013,RED RIVER,3404,30,1764689.508,629412.5512
143085,2/15/2019,Trash - Curbside/Alley Missed Pickup,"2 trash/carts only one cart emptied, wants 2nd trash/cart to be emptied asap. Curb","924 Aldwych Ct, Nashville, TN 37013, United States",37013,RED RIVER,4501,28,1770673.519,635332.295
143122,2/15/2019,Trash - Curbside/Alley Missed Pickup,street was missed,"2224 Hamlet Hill Drive, Nashville, TN 37013, United States",37013,RED RIVER,3503,33,1788280.383,627710.1622
143124,2/15/2019,Trash - Curbside/Alley Missed Pickup,"MISSED- TRASH AGAIN , CALLER IS AT A DEAD END...CART IS VISIBLE FROM THE ROAD.",5135 Hickory Hollow Pkwy,37013,RED RIVER,4504,32,1771717.295,625521.535
143132,2/15/2019,Trash - Backdoor,BACKDOOR MISS-,2468 Una Antioch Pike,37013,RED RIVER,4505,28,1773639.399,631458.4011
143134,2/15/2019,Trash - Curbside/Alley Missed Pickup,Missed trash- whole street missed,"3272 LUANN DR, 37013",37013,,,33,1785780.997,632352.0003
143136,2/15/2019,Trash - Curbside/Alley Missed Pickup,"Trash/curb missed pickup, Friday.","3313 Oak Timber Dr, Nashville, TN 37013, United States",37013,RED RIVER,3504,33,1788389.198,631779.2112
143137,2/15/2019,Trash - Curbside/Alley Missed Pickup,MISSED,"4749 Miners Cv, Antioch, Tennessee, 37013",37013,RED RIVER,4501,28,1771085.8,632791.2015
143164,2/16/2019,Trash Collection Complaint,None of our trash nor recycles were picked up on 2/15. This applies to ALL homes on Seasons Lake Ct.,"1909 Seasons Lake Ct, Nashville, TN 37013, United States",37013,RED RIVER,3503,33,1793777.749,633333.6306
143166,2/16/2019,Trash - Curbside/Alley Missed Pickup,"Trash was not collected on the whole street. Everyone?s carts are full on the entire street. Looks a mess! Unless the normal trash day has changed, last week it was picked up on Friday.","146 Sheila Dr, Nashville, TN 37013, United States",37013,RED RIVER,3404,30,1764796.392,629428.9194
143186,2/16/2019,Trash - Curbside/Alley Missed Pickup,"We saw them come very late last night, but it looks like our whole side of the road was missed.","3304 Forest Breeze Dr, Nashville, TN 37013, United States",37013,RED RIVER,3504,33,1787518.77,631497.6299
143344,2/18/2019,Trash - Curbside/Alley Missed Pickup,Trash pickup missed on entire street,"3521 Thornehill Dr, Nashville, TN 37013, United States",37013,RED RIVER,3502,33,1790160.856,635902.7353
143352,2/18/2019,Trash - Curbside/Alley Missed Pickup,whole block missed pickup,"1224 Quaise Moor E, Nashville, TN 37013, United States",37013,RED RIVER,3503,33,1792284.75,633425.4509
143355,2/18/2019,Trash - Curbside/Alley Missed Pickup,Pick up is usually around 7:30am on Fridays.  They did not pick up until after dark on Friday.  Somehow they failed to pick up mine.  Container was curbside and visible.  They was no reason for their failure to pick up.  Container is full and I need it emptied.,"3289 LUANN DR, 37013",37013,RED RIVER,3504,29,1785925.164,632022.4916
143360,2/18/2019,Trash - Curbside/Alley Missed Pickup,None of my neighbors trash on our street was picked up either.,"3529 Thornehill Dr, Nashville, TN 37013, United States",37013,RED RIVER,3502,33,1790124.49,636052.8518
143417,2/18/2019,Trash - Curbside/Alley Missed Pickup,It seems that our entire street was skipped. Everyone still has their trash carts out.,"3516 Thornehill Dr, Nashville, TN 37013, United States",37013,RED RIVER,3502,33,1790292.2,635840.0008
143476,2/19/2019,Trash - Curbside/Alley Missed Pickup,everyone missed,"1228 Quaise Moor E, Nashville, TN 37013, United States",37013,RED RIVER,3503,33,1792355.118,633397.4514
143504,2/19/2019,Trash - Curbside/Alley Missed Pickup,this area missed,"1909 Seasons Lake Ct, Nashville, TN 37013, United States",37013,,,33,1793777.749,633333.6306
143728,2/19/2019,Trash - Curbside/Alley Missed Pickup,missed pick up,3532 THORNEHILL DR,37013,,,33,1790209.798,636148.0004
143882,2/19/2019,Trash - Curbside/Alley Missed Pickup,trash missed Friday,"3521 Thornehill Dr, Evansville, IN 47725, United States",37013,RED RIVER,3502,33,1790160.856,635902.7353
143936,2/19/2019,Trash - Curbside/Alley Missed Pickup,Missed trash- whole street missed,"1200 Quaise Moor E, Nashville, TN 37013, United States",37013,RED RIVER,3503,33,1791844.17,633341.9394
143962,2/19/2019,Trash - Curbside/Alley Missed Pickup,get all carts in area,"3508 Thornehill Dr, Nashville, TN 37013, United States",37013,RED RIVER,3502,33,1790332.998,635681.6012
144131,2/19/2019,Trash - Curbside/Alley Missed Pickup,missed the street,"3533 Thornehill Dr, Nashville, TN 37013, United States",37013,RED RIVER,3502,33,1790088.467,636124.4653
144263,2/20/2019,Trash - Curbside/Alley Missed Pickup,still out,"1216 Quaise Moor E, Nashville, TN 37013, United States",37013,RED RIVER,3503,33,1792146.979,633415.8203
144628,2/20/2019,Trash - Curbside/Alley Missed Pickup,MISSED,"1213 Quaise Moor E, Nashville, TN 37013, United States",37013,RED RIVER,3503,33,1792018.369,633505.6005
144903,2/21/2019,Trash - Curbside/Alley Missed Pickup,1 cart,"5170 Hickory Hollow Pkwy, Nashville, TN 37013, United States",37013,RED RIVER,4504S,32,1772605.759,626619.6389
145360,2/22/2019,Trash - Curbside/Alley Missed Pickup,"Trash/miss Friday, dead end one way in and one way out. Curb","3585 Gondola Dr, Nashville, TN 37013, United States",37013,RED RIVER,3502,33,1791482.621,637625.7904
145520,2/22/2019,Trash - Curbside/Alley Missed Pickup,Curb trash/missed 2 weeks in row. Neighbor{s} carts emptied already. Friday truck came and gone.,"3700 Waterford Way, Nashville, TN 37013, United States",37013,RED RIVER,3502,33,1794975.226,636631.4546
145909,2/22/2019,Trash - Curbside/Alley Missed Pickup,"I?m not sure who our new trash collection employee is but whoever it is is TERRIBLE!! This is the second time in the last 30 days my cab has been missed! I?ve lived at my address for 6 years and up until recently never had a problem, now is a totally different story! I only have 2 cans and expect them to be picked up on the day they are supposed to!! I shouldn?t have to keep leaving my carts out pass the pick up date!!","504 Shaker Ct, Nashville, TN 37013, United States",37013,RED RIVER,3502,33,1791486.054,636211.4394
145966,2/23/2019,Trash - Backdoor,"Is there a specific location? The garbage cart is located to the left of my house sitting directly  in front of my garage.  With my disability, this is the best that I can do.","4221 Shagbark Trail, Nashville, TN 37013, United States",37013,RED RIVER,4510,32,1785327.167,622722.2572
146338,2/25/2019,Trash - Curbside/Alley Missed Pickup,missed,"105 Colemont Dr, Nashville, TN 37013, United States",37013,RED RIVER,3404,30,1763697,630004.8014
146340,2/25/2019,Trash - Curbside/Alley Missed Pickup,Missed trash- whole street missed,"3153 Stoneybrook Cir, Nashville, TN 37013, United States",37013,RED RIVER,3503,33,1789078.713,633445.7628
146466,2/25/2019,Trash - Curbside/Alley Missed Pickup,Trash pickup was missed on my street.,"208 Apollo Cir, Nashville, TN 37013, United States",37013,RED RIVER,4501,28,1771246.692,632802.2311
146686,2/25/2019,Trash - Curbside/Alley Missed Pickup,,1905 Terragon Ct,37013,RED RIVER,4505,28,1770366.264,634975.3231
146950,2/26/2019,Trash - Curbside/Alley Missed Pickup,still out,"1909 Terragon Ct, Nashville, TN 37013, United States",37013,RED RIVER,4505,28,1770423.699,634980.4085
148072,2/27/2019,Trash - Curbside/Alley Missed Pickup,Curb trash/missed 2 weeks in row. Neighbor{s} carts emptied already. Friday truck came and gone. Will be 3 weeks this Friday if cart is not emptied. Even when calling they do not come back to emptied.,"3700 Waterford Way, Nashville, TN 37013, United States",37013,RED RIVER,3502,33,1794975.226,636631.4546
148075,2/27/2019,Trash - Curbside/Alley Missed Pickup,I have reported my trash has been missed or not picked up for two weeks in a row. Trash service for my subdivision is scheduled once a week every Friday. If the trash pick up is missed again this coming Friday I will have accumulated three weeks for trash.,"3700 Waterford Way, Nashville, TN 37013, United States",37013,RED RIVER,3502,33,1794975.226,636631.4546
148709,2/28/2019,Trash Collection Complaint,"Filing a complaint trash/truck compacts right in front of the house, leaving juice all over in front of the street, it's smells bad and does this every week in the same spot. Leaving liquids smelly juice. Talk to driver asap. To stop his compacting in front of this street address. Clean smell asap","1345 Bell Rd, Nashville, TN 37013, United States",37013,RED RIVER,4405,31,1767958.885,624573.704
149032,3/1/2019,Trash - Curbside/Alley Missed Pickup,3 weeks in a row missed,"3156 Stoneybrook Cir, Nashville, TN 37013, United States",37013,RED RIVER,3503,33,1789341.87,633602.714
149054,3/1/2019,Trash - Curbside/Alley Missed Pickup,1 cart,"14550 Old Hickory Blvd, Nashville, TN 37013, United States",37013,RED RIVER,4403,31,1766766.598,618419.2003
149167,3/1/2019,Trash - Curbside/Alley Missed Pickup,1 cart,"375 Bart Dr, Nashville, TN 37013, United States",37013,RED RIVER,4405,30,1767921.799,628387.2003
149250,3/1/2019,Trash - Curbside/Alley Missed Pickup,MISSED...OTHERS MISSED,"7416 Maroney Dr, Nashville, TN 37013, United States",37013,RED RIVER,4310,33,1793388.173,627427.4947
149386,3/1/2019,Trash - Curbside/Alley Missed Pickup,entire street missed,"605 Piccadilly Row, Nashville, TN 37013, United States",37013,RED RIVER,4502,28,1772170.579,636605.5902
149388,3/1/2019,Trash - Curbside/Alley Missed Pickup,1 cart. entire street is missed,"2741 Welshcrest Dr, Nashville, TN 37013, United States",37013,RED RIVER,4504,32,1777156.738,632344.3762
149398,3/1/2019,Trash - Curbside/Alley Missed Pickup,My neighbors trash bin was located next to mine and theirs was emptied while mine was not.,"1322 Hickory Park Ct W, Nashville, TN 37013, United States",37013,RED RIVER,4405,32,1769345.549,622152.826
149400,3/1/2019,Trash - Curbside/Alley Missed Pickup,cart is full...collection crew only emptied 1 cart,"5969 Mt View Rd, Nashville, TN 37013, United States",37013,RED RIVER,3503,33,1786200.999,628638.4016
149467,3/2/2019,Trash - Curbside/Alley Missed Pickup,Whole street was missed,"1004 Regents Park Cir, Nashville, TN 37013, United States",37013,RED RIVER,4502,28,1772103.847,636701.4136
149469,3/2/2019,Trash - Curbside/Alley Missed Pickup,My trash was not picked up yesterday Friday March 1st.  Friday is our scheduled day.  Trash container was placed as always curbside and early in the morning.  No note or reason for not picking it up was left at the house or container. I need someone to come get it - it is still outside curbside.,"612 Chestwick Ct, Nashville, TN 37013, United States",37013,RED RIVER,3503,33,1796872.21,633062.3408
149478,3/2/2019,Trash - Curbside/Alley Missed Pickup,Entire street missed,"12546 Old Hickory Blvd, Nashville, TN 37013, United States",37013,RED RIVER,4510,33,1789761.8,620427.2005
149487,3/2/2019,Trash - Curbside/Alley Missed Pickup,Our street missed trash pickup for Friday service from Anderson Road to Mossdale Drive. Today is Saturday--was still not picked up.,"421 Owendale Dr, Nashville, TN 37013, United States",37013,RED RIVER,4503,29,1784173.46,634658.6782
149497,3/2/2019,Trash - Curbside/Alley Missed Pickup,our whole street was missed-  400 block of owendale drive,"468 Owendale Dr, Nashville, TN 37013, United States",37013,RED RIVER,4503,29,1784542.588,635596.0001
149636,3/4/2019,Trash - Curbside/Alley Missed Pickup,no trash was pick up on Regents park cir,"605 Piccadilly Row, Nashville, TN 37013, United States",37013,RED RIVER,4502,28,1772170.579,636605.5902
149644,3/4/2019,Trash - Curbside/Alley Missed Pickup,"The whole street trash/miss last Friday, Cal De Sac and Court and others as well.","3436 CAINBROOK XING, 37013",37013,RED RIVER,4504,32,1782809.619,622679.9315
149688,3/4/2019,Trash - Curbside/Alley Missed Pickup,missed the entire street,"445 Owendale Dr, Nashville, TN 37013, United States",37013,RED RIVER,4503,29,1784128.026,635144.0122
149712,3/4/2019,Trash - Curbside/Alley Missed Pickup,MISS,"3408 Cainbrook Crossing, Nashville, TN 37013, United States",37013,RED RIVER,4504,32,1782356.515,623018.2992
149743,3/4/2019,Trash - Curbside/Alley Missed Pickup,"missed entire street 3rd time in 4 months, Last Friday
The whole Court dead end. Curb {Wants cart emptied before next pickup}","2028 LEATHERBURY CT, 37013",37013,RED RIVER,3503,33,1793289.16,633401.5514
149785,3/4/2019,Trash - Curbside/Alley Missed Pickup,MISSED...OTHERS ON STREET MISSED.,"432 Owendale Dr, Nashville, TN 37013, United States",37013,RED RIVER,4503,29,1784305.788,634896.8
149874,3/4/2019,Trash - Curbside/Alley Missed Pickup,"1515 Bridgecrest Dr. All units missed, starting from unit#401 all missed again {town-homes}","1515 BRIDGECREST DR, 228, 37013",37013,RED RIVER,4504,28,1776858.791,630969.0443
149898,3/4/2019,Trash - Curbside/Alley Missed Pickup,MISSED...OTHERS ON STREET MISSED...,"3405 Cainbrook Xing, Antioch, Tennessee, 37013",37013,RED RIVER,4504,32,1782345.479,623139.8503
149917,3/4/2019,Trash - Curbside/Alley Missed Pickup,Out night before trash missed for all {last Friday}.,"3409 CAINBROOK XING, 37013",37013,RED RIVER,4504,32,1782396.549,623112.5415
149949,3/4/2019,Trash - Curbside/Alley Missed Pickup,1 cart. The entire street was missed,"1005 Regents Park Cir, Nashville, TN 37013, United States",37013,RED RIVER,4502,28,1772096.199,636591.2106
149952,3/4/2019,Trash - Curbside/Alley Missed Pickup,Missed.,"12552 Old Hickory Blvd, Nashville, TN 37013, United States",37013,RED RIVER,4510,33,1789722.598,620280.0007
150008,3/4/2019,Trash - Curbside/Alley Missed Pickup,1 cart. The entire street was missed,"408 Owendale Dr, Nashville, TN 37013, United States",37013,RED RIVER,4503,29,1784316.188,634408.8007
150046,3/4/2019,Trash - Curbside/Alley Missed Pickup,Our pickup day is Friday; I put the cart out on Thursday night before leaving town for the weekend. Car is still there today (Tuesday) full - and so are most of my neighbors on this end of Owendale. What's up?,"409 Owendale Dr, Nashville, TN 37013, United States",37013,RED RIVER,4503,29,1784160.834,634413.1361
150211,3/5/2019,Trash - Curbside/Alley Missed Pickup,entire street missed,"800 Cainbrook Ct, Nashville, TN 37013, United States",37013,RED RIVER,4504,32,1782493.34,622942.7354
150277,3/5/2019,Trash - Curbside/Alley Missed Pickup,missed the street,1036 Regents Park Cir,37013,RED RIVER,4502,28,1771725.896,636376.2185
150289,3/5/2019,Trash - Curbside/Alley Missed Pickup,miss,"742 Pippin Dr, Nashville, TN 37013, United States",37013,RED RIVER,4504,28,1775657.073,629639.9659
150321,3/5/2019,Trash - Curbside/Alley Missed Pickup,our entire street was not picked up. all of my neighbors trash cans are out as well. we have our collection on Fridays. this is happening a lot lately.,"2012 Leatherbury Ct, Nashville, TN 37013, United States",37013,RED RIVER,3503,33,1793503.669,633274.81
150322,3/5/2019,Trash - Backdoor,DIRECTLY IN FRONT OF GARAGE,"4221 Shagbark Trail, Nashville, TN 37013, United States",37013,,,32,1785327.167,622722.2572
150323,3/5/2019,Trash Collection Complaint,trash is missed every other week,"14550 Old Hickory Blvd, Antioch, Tennessee, 37013",37013,RED RIVER,4403,31,1766766.598,618419.2003
150358,3/5/2019,Trash - Curbside/Alley Missed Pickup,missed- MISSED NEIGHBORHODD.,"3400 Cainbrook Xing, Antioch, Tennessee, 37013",37013,RED RIVER,4504,32,1782266.501,623078.7542
150594,3/6/2019,Trash Collection Complaint,"My trash was dumped on the street, and the cart was not emptied on 3/1/3019.","3609 Longhaven Crossing, Nashville, TN 37013, United States",37013,RED RIVER,4504,32,1783253.678,622846.2343
151887,3/8/2019,Trash Collection Complaint,"Last weeks trash/still inside the cart, does not shake cart well so all bags can come out, only gets a couple of bags out, has everything in trash/bags. All driver has to do is shake trash/cart better so all bags can fall into truck, he does not even get off. Want all the trash/pickup today. Friday.","1428 Sprucedale Dr, Nashville, TN 37013, United States",37013,RED RIVER,4510,32,1785879.405,620173.5455
151948,3/8/2019,Damage to Property,Dump truck lost Hydraulic fluid and spelled all over the road. Sand was put down but will need clean up. Tire marks from driving through the hydraulic fluid are on Bridgette Ct and Murphy Crossing.,"5560 Murphywood Crosing, Nashville, TN 37013, United States",37013,RED RIVER,4504,32,1783773.376,621249.259
151953,3/8/2019,Trash - Curbside/Alley Missed Pickup,MISSED,"593 Roxanne Dr, Nashville, TN 37013, United States",37013,RED RIVER,4404,31,1763342.519,624900.7214
151989,3/8/2019,Trash - Curbside/Alley Missed Pickup,entire street was missed,"1213 Quaise Moor E, Antioch, Tennessee, 37013",37013,RED RIVER,3503,33,1792018.369,633505.6005
152080,3/8/2019,Trash Collection Complaint,"This is the 3rd week in a row that a lot of trash bins in our neighborhood have been left open and/or tipped over, and this week ours was left on its side. It isn't just wind, as one week they were running late in the evening and I saw the truck sitting them down in a way that the lids flung back and hung open. Not sure if there are new employees operating the trucks or if they have been rushing or what, but we had great service for years up until the past few weeks.","3304 Forest Breeze Dr, Nashville, TN 37013, United States",37013,RED RIVER,3504,33,1787518.77,631497.6299
152124,3/8/2019,Trash - Curbside/Alley Missed Pickup,cust says missed pickup,6600 Ascot Dr,37013,RED RIVER,3503,33,1795058.32,633130.9305
152132,3/8/2019,Trash - Curbside/Alley Missed Pickup,MISSED...CHURCH ACROSS THE STREET WAS MISSED TOO.,"5953 Mt View Rd, Nashville, TN 37013, United States",37013,RED RIVER,3503,33,1786151.819,628881.0706
152140,3/8/2019,Trash - Curbside/Alley Missed Pickup,missed the neighborhood,"1721 CLAYCREEK PT, 37013",37013,,,33,1787841.696,628657.5461
152144,3/8/2019,Trash - Curbside/Alley Missed Pickup,miss,"1405 Rugosa Ct, Nashville, TN 37013, United States",37013,RED RIVER,3503,33,1792988.646,633626.2592
152145,3/8/2019,Trash - Curbside/Alley Missed Pickup,missed,"1408 Rugosa Ct, Nashville, TN 37013, United States",37013,RED RIVER,3503,33,1793034.011,633754.5025
152169,3/9/2019,Trash - Curbside/Alley Missed Pickup,"This haS BEEN GOING ON FOR OVER A MONTH.  WORKER PICKS UP ON OTHER SIDE OF STREET, BUT NOT ON MY SIDE.","3165 Kinwood Dr, Nashville, TN 37013, United States",37013,RED RIVER,4503,29,1785205.854,632889.0036
152195,3/9/2019,Trash - Curbside/Alley Missed Pickup,Our entire street seems to have been missed yesterday 3/8. Every house still has full trash bins on the curb this morning.,"2864 Lera Jones Dr, Nashville, TN 37013, United States",37013,RED RIVER,3505,29,1785965.592,635487.4098
152259,3/10/2019,Trash - Curbside/Alley Missed Pickup,"I called on Thursday to advise of this and as of today, my trash has still not been picked up.","148 TUSCULUM RD, 37013",37013,RED RIVER,4404,30,1764605.323,626797.2998
152353,3/11/2019,Trash - Backdoor,"Backdoor/Trash missed pickup, last Friday.","803 Reeves Rd, Nashville, TN 37013, United States",37013,RED RIVER,4505,28,1770485.28,630934.2261
152382,3/11/2019,Trash - Curbside/Alley Missed Pickup,missed the street,"2829 Lera Jones Dr, Nashville, TN 37013, United States",37013,RED RIVER,3505,29,1785344.319,635894.0605
152384,3/11/2019,Trash - Curbside/Alley Missed Pickup,missed the street,"2829 Lera Jones Dr, Nashville, TN 37013, United States",37013,RED RIVER,3505,29,1785344.319,635894.0605
152454,3/11/2019,Trash - Backdoor,BACKDOOR MISS-,2468 Una Antioch Pike,37013,RED RIVER,4505,28,1773639.399,631458.4011
152512,3/11/2019,Trash - Curbside/Alley Missed Pickup,All of the roads miss for last Friday. All roads need to be emptied.,"2817 Lera Jones Dr, Nashville, TN 37013, United States",37013,RED RIVER,3505,29,1785151.085,636049.1258
152519,3/11/2019,Trash - Curbside/Alley Missed Pickup,"miss trash/last Friday, also others on the same street. Full carts have overflow.",5004 Highlander Dr,37013,RED RIVER,4504,28,1773430.197,627434.2422
152635,3/11/2019,Trash - Curbside/Alley Missed Pickup,several homes on the street have been missed for the past few weeks,"2877 Lera Jones Dr, Nashville, TN 37013, United States",37013,RED RIVER,3505,29,1785967.277,635272.9491
152760,3/11/2019,Trash - Curbside/Alley Missed Pickup,missed the street,2856 lera Jones Dr,37013,RED RIVER,3505,29,1785860.162,635608.025
153033,3/12/2019,Trash - Curbside/Alley Missed Pickup,miss,"2841 Lera Jones Dr, Nashville, TN 37013, United States",37013,RED RIVER,3505,29,1785457.405,635778.5643
153338,3/12/2019,Trash - Curbside/Alley Missed Pickup,"MISSED- TRASH AGAIN , CALLER IS AT A DEAD END...CART IS VISIBLE FROM THE ROAD.",5135 Hickory Hollow Pkwy,37013,RED RIVER,4504,32,1771717.295,625521.535
153367,3/12/2019,Trash - Curbside/Alley Missed Pickup,miss,"2885 Lera Jones Dr, Nashville, TN 37013, United States",37013,RED RIVER,3505,29,1786032.292,635105.9528
154122,3/14/2019,Trash - Backdoor,Does have Backdoor/Trash pickup {waiver good through 2021. Missed last Friday and no one ever came back. Wants to make sure cart is pickup for this Friday 3/15/2019. BACKDOOR.,2468 Una Antioch Pike,37013,RED RIVER,4505,28,1773639.399,631458.4011
154387,3/14/2019,Trash Collection Complaint,caller has back door pickup and the crew is leaving the cart in the street and putting the cart back at the backdoor,"439 Hickory Glade Dr, Nashville, TN 37013, United States",37013,,,30,1760211.792,629773.4588
154898,3/15/2019,Trash - Backdoor,"Backdoor/Trash missed pickup, last Friday.
Per Kimberly customer at this address does have backdoor pickup on the list.","803 Reeves Rd, Nashville, TN 37013, United States",37013,RED RIVER,4505,28,1770485.28,630934.2261
155183,3/15/2019,Trash - Curbside/Alley Missed Pickup,Our entire culdasac and steet were missed.,"813 Kestenbaum Ct, Nashville, TN 37013, United States",37013,RED RIVER,4510,32,1786676.189,623526.801
155217,3/15/2019,Trash Collection Complaint,"file complaint, puddle of oil or some sort of red pink liquid,  they want that clean up asap and they walk there animals. Leaking out of trash/truck. all other the streets of Nashville, clean up all of Town Village {upset}","3124 Towne Village Rd, Nashville, TN 37013, United States",37013,RED RIVER,3504,33,1788695.399,633403.2017
